Number|"Merchant ID"|"Merchant Name"|Affiliate|Status|Message
"24 of 290 (8.28%)"|4113|Triads|webgains|"Updated - 5 Inserted, 2771 Failed."|
"25 of 290 (8.62%)"|5250|"Milanoo UK"|webgains|"Updated -  Inserted, 31655 Failed."|
"26 of 290 (8.97%)"|9385|"Chatham Marine"|webgains|"Updated - 2 Inserted, 313 Failed."|
"27 of 290 (9.31%)"|4948|Yumi|webgains|"Updated -  Inserted, 5571 Failed."|
"28 of 290 (9.66%)"|5151|Psyche|webgains|"Updated -  Inserted, 3996 Failed."|
"29 of 290 (10.00%)"|5528|"Joy The Store"|webgains|"Updated -  Inserted, 4341 Failed."|
"30 of 290 (10.34%)"|5556|"Damsel In A Dress"|webgains|"Updated -  Inserted, 380 Failed."|
"31 of 290 (10.69%)"|5565|"Ecco UK"|webgains|"Updated -  Inserted, 655 Failed."|
"32 of 290 (11.03%)"|5636|"Extreme Pie"|webgains|"Updated - 43 Inserted, 9042 Failed."|
"33 of 290 (11.38%)"|5733|"Yours Clothing"|webgains|"Updated - 571 Inserted, 4158 Failed."|
"34 of 290 (11.72%)"|5763|"Repertoire Fashion"|webgains|"Updated - 25 Inserted, 2581 Failed."|
"35 of 290 (12.07%)"|10295|"Honor Gold"|webgains|"Updated -  Inserted, 96 Failed."|
"36 of 290 (12.41%)"|6397|Hurley|webgains|"Updated - 4 Inserted, 3150 Failed."|
"37 of 290 (12.76%)"|6415|Hervia|webgains|"Updated - 16 Inserted, 1504 Failed."|
"38 of 290 (13.10%)"|6533|Hairtrade|webgains|"Updated -  Inserted, 5287 Failed."|
"39 of 290 (13.45%)"|6693|Temperley|webgains|"Updated - 21 Inserted, 401 Failed."|
"40 of 290 (13.79%)"|6785|"Marc B"|webgains|"Updated -  Inserted, 116 Failed."|
"41 of 290 (14.14%)"|7835|Larizia|webgains|"Updated - 14 Inserted, 1249 Failed."|
"42 of 290 (14.48%)"|7901|"Camille Lingerie"|webgains|"Updated - 4 Inserted, 1328 Failed."|
"43 of 290 (14.83%)"|7975|"Malene Birger UK"|webgains|"Updated -  Inserted,  Failed."|
"44 of 290 (15.17%)"|8593|"Ann Summers"|webgains|"Updated - 14 Inserted, 1248 Failed."|
"45 of 290 (15.52%)"|8631|"Escada UK"|webgains|"Updated - 1 Inserted, 816 Failed."|
"46 of 290 (15.86%)"|8895|Sunglasses2u|webgains|"Updated - 4 Inserted, 1648 Failed."|
"47 of 290 (16.21%)"|8993|"Jolly Chic"|webgains|"Updated -  Inserted, 2519 Failed."|
"48 of 290 (16.55%)"|8997|Aristoc|webgains|"Updated -  Inserted, 216 Failed."|
"49 of 290 (16.90%)"|9169|"Voga NL"|webgains|"Updated -  Inserted, 924 Failed."|
"50 of 290 (17.24%)"|9617|"Voga UK"|webgains|"Updated -  Inserted, 1029 Failed."|
"51 of 290 (17.59%)"|10263|Liberty|webgains|"Updated - 157 Inserted, 14629 Failed."|
"52 of 290 (17.93%)"|10351|Rain-Wave|webgains|"Updated -  Inserted, 10 Failed."|
"53 of 290 (18.28%)"|10605|Finery|webgains|"Updated - 2 Inserted, 342 Failed."|
"54 of 290 (18.62%)"|10443|"Fenn Wright Manson"|webgains|"Updated -  Inserted, 214 Failed."|
"55 of 290 (18.97%)"|11051|"Cloud 10 Beauty"|webgains|"Updated - 2265 Inserted,  Failed."|
"56 of 290 (19.31%)"|6475|"Darling Clothes"|webgains|"Updated -  Inserted, 186 Failed."|
"57 of 290 (19.66%)"|9639|"Dollywood Boutique"|webgains|"Updated -  Inserted, 739 Failed."|
"58 of 290 (20.00%)"|11456|"Tesco Wine"|tradedoubler|"Updated - 0 Inserted, 1440 Failed."|
"59 of 290 (20.34%)"|14995|"Tesco Direct (fusepump)"|tradedoubler|"Updated - 0 Inserted, 30412 Failed."|
"60 of 290 (20.69%)"|16789|"Madeleine Fashion Ltd."|tradedoubler|"Updated - 109 Inserted, 5205 Failed."|
"61 of 290 (21.03%)"|18871|"Intimissimi UK PF"|tradedoubler|"Updated - 0 Inserted, 109 Failed."|
"62 of 290 (21.38%)"|19176|"Tesco Mobile Own Network"|tradedoubler|"Updated - 0 Inserted, 374 Failed."|
"63 of 290 (21.72%)"|14808|"Tesco Branded Pay Monthly"|tradedoubler|"Updated - 0 Inserted, 80 Failed."|
"64 of 290 (22.07%)"|11530|"Tesco Clothing"|tradedoubler|"Updated - 1954 Inserted, 29125 Failed."|
"65 of 290 (22.41%)"|21900|"Tesco Grocery"|tradedoubler|"Updated - 0 Inserted, 32948 Failed."|
