Number|"Merchant ID"|"Merchant Name"|Affiliate|Status|Message
"34 of 295 (11.53%)"|5733|"Yours Clothing"|webgains|"Updated - 4788 Inserted,  Failed."|
"35 of 295 (11.86%)"|5763|"Repertoire Fashion"|webgains|"Updated - 2273 Inserted,  Failed."|
"36 of 295 (12.20%)"|10295|"Honor Gold"|webgains|"Updated - 92 Inserted,  Failed."|
"37 of 295 (12.54%)"|6397|Hurley|webgains|"Updated - 2921 Inserted,  Failed."|
"38 of 295 (12.88%)"|6415|Hervia|webgains|"Updated - 1516 Inserted,  Failed."|
"39 of 295 (13.22%)"|6475|"Darling Clothes"|webgains|"Updated - 186 Inserted,  Failed."|
"40 of 295 (13.56%)"|6533|Hairtrade|webgains|"Updated - 5287 Inserted,  Failed."|
"41 of 295 (13.90%)"|6693|Temperley|webgains|"Updated - 267 Inserted,  Failed."|
"42 of 295 (14.24%)"|6785|"Marc B"|webgains|"Updated - 48 Inserted,  Failed."|
"43 of 295 (14.58%)"|7835|Larizia|webgains|"Updated - 1155 Inserted,  Failed."|
"44 of 295 (14.92%)"|7901|"Camille Lingerie"|webgains|"Updated - 1317 Inserted,  Failed."|
"45 of 295 (15.25%)"|7975|"Malene Birger UK"|webgains|"Updated -  Inserted,  Failed."|
"46 of 295 (15.59%)"|8593|"Ann Summers"|webgains|"Updated - 1137 Inserted,  Failed."|
"47 of 295 (15.93%)"|8631|"Escada UK"|webgains|"Updated - 690 Inserted,  Failed."|
"48 of 295 (16.27%)"|8895|Sunglasses2u|webgains|"Updated - 1647 Inserted,  Failed."|
"49 of 295 (16.61%)"|8993|"Jolly Chic"|webgains|"Updated - 2519 Inserted,  Failed."|
"50 of 295 (16.95%)"|8997|Aristoc|webgains|"Updated - 216 Inserted,  Failed."|
"51 of 295 (17.29%)"|9169|"Voga NL"|webgains|"Updated - 1003 Inserted,  Failed."|
"52 of 295 (17.63%)"|9617|"Voga UK"|webgains|"Updated - 1054 Inserted,  Failed."|
"53 of 295 (17.97%)"|10263|Liberty|webgains|"Updated - 12701 Inserted,  Failed."|
"54 of 295 (18.31%)"|10351|Rain-Wave|webgains|"Updated - 10 Inserted,  Failed."|
"55 of 295 (18.64%)"|10443|"Fenn Wright Manson"|webgains|"Updated - 171 Inserted,  Failed."|
"56 of 295 (18.98%)"|6147|Curvety|webgains|"Updated - 473 Inserted,  Failed."|
"57 of 295 (19.32%)"|9639|"Dollywood Boutique"|webgains|"Updated - 739 Inserted,  Failed."|
"58 of 295 (19.66%)"|11456|"Tesco Wine"|tradedoubler|"Updated - 1440 Inserted, 0 Failed."|
"59 of 295 (20.00%)"|14995|"Tesco Direct (fuse pump)"|tradedoubler|"Updated - 30412 Inserted, 0 Failed."|
"60 of 295 (20.34%)"|16789|"Madeleine Fashion Ltd."|tradedoubler|"Updated - 4458 Inserted, 0 Failed."|
"61 of 295 (20.68%)"|18871|"Intimissimi UK PF"|tradedoubler|"Updated - 109 Inserted, 0 Failed."|
"62 of 295 (21.02%)"|14808|"Tesco Branded Pay Monthly"|tradedoubler|"Updated - 80 Inserted, 0 Failed."|
"63 of 295 (21.36%)"|19176|"Tesco Mobile Own Network"|tradedoubler|"Updated - 422 Inserted, 0 Failed."|
"64 of 295 (21.69%)"|11530|"Tesco Clothing"|tradedoubler|"Updated - 28131 Inserted, 0 Failed."|
"65 of 295 (22.03%)"|21900|"Tesco Grocery"|tradedoubler|"Updated - 32948 Inserted, 0 Failed."|
