Number|"Merchant ID"|"Merchant Name"|Affiliate|Status|Message
"25 of 57 (43.86%)"|4113|Triads|webgains|"Updated - 2035 Inserted,  Failed."|
"26 of 57 (45.61%)"|5250|"Milanoo UK"|webgains|"Updated - 30611 Inserted,  Failed."|
"27 of 57 (47.37%)"|9385|"Chatham Marine"|webgains|"Updated - 272 Inserted,  Failed."|
"28 of 57 (49.12%)"|4948|Yumi|webgains|"Updated -  Inserted,  Failed."|
"29 of 57 (50.88%)"|5151|Psyche|webgains|"Updated - 3996 Inserted,  Failed."|
"30 of 57 (52.63%)"|5528|"Joy The Store"|webgains|"Updated - 4019 Inserted,  Failed."|
"31 of 57 (54.39%)"|5556|"Damsel In A Dress"|webgains|"Updated - 220 Inserted,  Failed."|
"32 of 57 (56.14%)"|5565|"Ecco UK"|webgains|"Updated - 765 Inserted,  Failed."|
"33 of 57 (57.89%)"|5636|"Extreme Pie"|webgains|"Updated - 8614 Inserted,  Failed."|
"34 of 57 (59.65%)"|5733|"Yours Clothing"|webgains|"Updated - 4727 Inserted,  Failed."|
"35 of 57 (61.40%)"|5763|"Repertoire Fashion"|webgains|"Updated - 2060 Inserted,  Failed."|
"36 of 57 (63.16%)"|10295|"Honor Gold"|webgains|"Updated - 81 Inserted,  Failed."|
"37 of 57 (64.91%)"|6147|Curvety|webgains|"Updated - 487 Inserted,  Failed."|
"38 of 57 (66.67%)"|6397|Hurley|webgains|"Updated - 2352 Inserted,  Failed."|
"39 of 57 (68.42%)"|6415|Hervia|webgains|"Updated - 1458 Inserted,  Failed."|
"40 of 57 (70.18%)"|6475|"Darling Clothes"|webgains|"Updated - 186 Inserted,  Failed."|
"41 of 57 (71.93%)"|6533|Hairtrade|webgains|"Updated - 5268 Inserted,  Failed."|
"42 of 57 (73.68%)"|6693|Temperley|webgains|"Updated - 373 Inserted,  Failed."|
"43 of 57 (75.44%)"|6785|"Marc B"|webgains|"Updated - 52 Inserted,  Failed."|
"44 of 57 (77.19%)"|7835|Larizia|webgains|"Updated - 981 Inserted,  Failed."|
"45 of 57 (78.95%)"|7901|"Camille Lingerie"|webgains|"Updated - 1433 Inserted,  Failed."|
"46 of 57 (80.70%)"|7975|"Malene Birger UK"|webgains|"Updated -  Inserted,  Failed."|
"47 of 57 (82.46%)"|8593|"Ann Summers"|webgains|"Updated - 1179 Inserted,  Failed."|
"48 of 57 (84.21%)"|8631|"Escada UK"|webgains|"Updated - 655 Inserted,  Failed."|
"49 of 57 (85.96%)"|8895|Sunglasses2u|webgains|"Updated - 1693 Inserted,  Failed."|
"50 of 57 (87.72%)"|8993|"Jolly Chic"|webgains|"Updated -  Inserted,  Failed."|
"51 of 57 (89.47%)"|8997|Aristoc|webgains|"Updated - 213 Inserted,  Failed."|
"52 of 57 (91.23%)"|9169|"Voga NL"|webgains|"Updated - 928 Inserted,  Failed."|
"53 of 57 (92.98%)"|9617|"Voga UK"|webgains|"Updated - 1295 Inserted,  Failed."|
"54 of 57 (94.74%)"|10263|Liberty|webgains|"Updated - 8827 Inserted,  Failed."|
"55 of 57 (96.49%)"|10443|"Fenn Wright Manson"|webgains|"Updated - 175 Inserted,  Failed."|
"56 of 57 (98.25%)"|9639|"Dollywood Boutique"|webgains|"Updated - 739 Inserted,  Failed."|
"57 of 57 (100.00%)"|8389|"Treat Republic"|webgains|"Updated - 684 Inserted,  Failed."|
