Number,"Post ID","Product ID",Affiliate,"Product Title",Brand,"Image URL",Description,Price,RRP,Link,Status
"78 of 5914 (1.32%)",12540,3100_3204981781,awin,"DKNY Crosby gold tote bag, Gold","House of Fraser",http://images.productserve.com/preview/0/3100/81/17/3204981781.jpg,265.00,0.00,http://www.awin1.com/pclick.php?p=3204981781&a=99908&m=3100,Updated
"79 of 5914 (1.34%)",12539,3213387415,awin,"Dkny Coated Logo Tan Tote Bag, Tan",,,,,,"Not Found"
"80 of 5914 (1.35%)",12538,3213387407,awin,"Dkny Coated Logo Brown Reversible Tote Bag, Brown",,,,,,"Not Found"
"81 of 5914 (1.37%)",12537,3100_3213388017,awin,"DKNY Coated logo black tote bag, Black","House of Fraser",http://images.productserve.com/preview/0/3100/17/80/3213388017.jpg,80.00,0.00,http://www.awin1.com/pclick.php?p=3213388017&a=99908&m=3100,Updated
"82 of 5914 (1.39%)",12536,3100_3213387303,awin,"DKNY Black large scarf tote bag, Black","House of Fraser",http://images.productserve.com/preview/0/3100/03/73/3213387303.jpg,205.00,0.00,http://www.awin1.com/pclick.php?p=3213387303&a=99908&m=3100,Updated
"83 of 5914 (1.40%)",12535,3100_3198675139,awin,"DKNY Tribeca neutral double zip tote bag, Neutral","House of Fraser",http://images.productserve.com/preview/0/3100/39/51/3198675139.jpg,250.00,0.00,http://www.awin1.com/pclick.php?p=3198675139&a=99908&m=3100,Updated
"84 of 5914 (1.42%)",12534,3162724793,awin,"Dkny Saffino Natural Tote Bag, Natural",,,,,,"Not Found"
"85 of 5914 (1.44%)",12533,3100_3162724795,awin,"DKNY Saffino light pink tote bag, Light Pink","House of Fraser",http://images.productserve.com/preview/0/3100/95/47/3162724795.jpg,205.00,0.00,http://www.awin1.com/pclick.php?p=3162724795&a=99908&m=3100,Updated
"86 of 5914 (1.45%)",12532,3100_3160924715,awin,"DKNY Saffiano tan chain tote bag, Tan","House of Fraser",http://images.productserve.com/preview/0/3100/15/47/3160924715.jpg,124.00,155.00,http://www.awin1.com/pclick.php?p=3160924715&a=99908&m=3100,Updated
"87 of 5914 (1.47%)",12531,3202937585,awin,"Dkny Saffiano Pink Medium Tote Bag, Pink",,,,,,"Not Found"
"88 of 5914 (1.49%)",12530,3100_3202937591,awin,"DKNY Saffiano orange medium tote bag, Orange","House of Fraser",http://images.productserve.com/preview/0/3100/91/75/3202937591.jpg,169.00,0.00,http://www.awin1.com/pclick.php?p=3202937591&a=99908&m=3100,Updated
"89 of 5914 (1.50%)",12529,3100_3204981759,awin,"DKNY Saffiano orange large double zip tote bag, Orange","House of Fraser",http://images.productserve.com/preview/0/3100/59/17/3204981759.jpg,245.00,0.00,http://www.awin1.com/pclick.php?p=3204981759&a=99908&m=3100,Updated
"90 of 5914 (1.52%)",12528,3204981763,awin,"Dkny Saffiano Green Medium Double Zip Tote Bag, Green",,,,,,"Not Found"
